protocol,size,timedelta,flags
6,54,0.04181241989135742,16
6,54,0.0002913475036621094,16
17,483,0.8299646377563477,0
17,492,0.06165266036987305,0
17,535,0.09447741508483887,0
17,549,0.07958292961120605,0
17,547,0.07923507690429688,0
17,563,0.0792689323425293,0
6,66,0.16490626335144043,2
6,66,0.12096643447875977,18
6,54,0.00022029876708984375,16
6,237,0.00022792816162109375,24
6,1506,0.1226205825805664,16
6,1506,0.0001926422119140625,16
6,54,0.00010275840759277344,16
6,148,0.0005419254302978516,24
6,212,0.0007891654968261719,24
6,105,0.12173914909362793,24
6,810,0.015124320983886719,24
6,1506,0.1295003890991211,16
6,1506,0.0002429485321044922,16
6,54,0.00011849403381347656,16
6,1506,0.00018262863159179688,16
6,1506,0.00017118453979492188,16
6,54,9.799003601074219e-05,16
6,1506,0.0001533031463623047,16
6,1506,0.000156402587890625,16
6,54,9.393692016601562e-05,16
6,1506,0.0001518726348876953,16
6,1506,0.00015306472778320312,16
6,54,8.940696716308594e-05,16
6,1506,0.00015306472778320312,16
6,1506,0.0003466606140136719,16
6,54,0.00012993812561035156,16
6,1506,0.00017142295837402344,16
6,1330,0.00015473365783691406,24
6,54,9.72747802734375e-05,16
6,85,0.029402971267700195,24
6,54,0.0001595020294189453,17
6,60,0.11997437477111816,16
6,60,0.0002079010009765625,17
6,54,0.000148773193359375,16
17,71,0.5142507553100586,0
17,67,0.037848472595214844,0
6,59,0.713202953338623,24
6,60,0.032035112380981445,16
17,211,0.30397462844848633,0
17,75,0.01779770851135254,0
17,75,0.011150360107421875,0
17,872,0.049516916275024414,0
17,69,0.00017070770263671875,0
17,140,0.00012612342834472656,0
17,82,0.012475967407226562,0
17,68,0.01829242706298828,0
17,483,0.07421588897705078,0
17,492,0.06326985359191895,0
17,535,0.09454989433288574,0
17,549,0.07894682884216309,0
17,547,0.078704833984375,0
17,563,0.07963418960571289,0
6,66,0.03665471076965332,2
6,66,0.00020194053649902344,2
6,66,0.0006451606750488281,18
6,66,0.00018262863159179688,18
6,54,0.00015878677368164062,16
6,54,0.00013589859008789062,16
6,56,0.00023365020751953125,24
6,107,0.0002536773681640625,24
6,56,0.00020837783813476562,24
6,107,0.00018644332885742188,24
6,60,0.0002281665802001953,16
6,60,0.00021648406982421875,16
6,60,0.0001838207244873047,16
6,60,0.00015211105346679688,16
6,66,0.0017364025115966797,2
6,66,0.0003783702850341797,2
6,66,0.00026798248291015625,2
6,66,0.00027680397033691406,18
6,54,0.0003306865692138672,16
6,66,0.00021219253540039062,2
6,66,0.00019478797912597656,2
6,66,0.00017762184143066406,2
6,56,0.0002684593200683594,24
6,83,0.0002243518829345703,24
6,173,0.0006093978881835938,24
6,169,0.000308990478515625,24
6,54,0.00011181831359863281,17
6,66,0.00011730194091796875,18
6,54,9.894371032714844e-05,16
6,66,9.894371032714844e-05,18
6,54,9.5367431640625e-05,16
6,54,9.083747863769531e-05,17
6,56,0.00012230873107910156,24
6,83,0.00011587142944335938,24
6,56,0.00011444091796875,24
6,87,0.00011396408081054688,24
17,1292,0.0002193450927734375,0
17,1292,0.00021505355834960938,0
17,1292,0.0005633831024169922,0
6,66,0.00037479400634765625,18
17,123,0.0003848075866699219,0
6,54,0.00045609474182128906,16
6,66,0.00029587745666503906,18
6,54,0.00013065338134765625,16
6,56,0.0003867149353027344,24
6,60,0.00021505355834960938,16
6,92,0.00020360946655273438,24
6,56,0.0001957416534423828,24
6,87,0.0002033710479736328,24
6,66,0.00017189979553222656,18
6,54,0.0001201629638671875,16
6,56,0.00013399124145507812,24
6,92,0.0001270771026611328,24
6,60,0.00014400482177734375,16
6,60,0.000141143798828125,17
6,54,0.00010728836059570312,16
6,60,0.00014162063598632812,16
6,60,0.00016736984252929688,16
6,60,0.00017261505126953125,16
6,60,0.00013947486877441406,16
6,60,0.00016379356384277344,17
6,60,0.00018548965454101562,16
6,54,0.00015211105346679688,16
6,60,0.0001780986785888672,16
6,60,0.0001838207244873047,16
6,60,0.00018286705017089844,16
6,60,0.0001876354217529297,16
6,60,0.00018548965454101562,16
6,116,0.0010268688201904297,24
6,54,0.00019693374633789062,17
6,101,0.0005028247833251953,24
6,54,0.00019168853759765625,17
6,54,0.000164031982421875,17
6,54,0.00015544891357421875,17
6,66,0.0001704692840576172,2
6,66,0.00027871131896972656,2
6,66,0.00025200843811035156,2
6,66,0.00019311904907226562,2
6,413,0.002217531204223633,24
6,60,0.00017642974853515625,17
6,54,0.00011277198791503906,16
6,54,9.894371032714844e-05,17
6,60,0.00010967254638671875,17
6,54,9.655952453613281e-05,16
6,154,0.000545501708984375,24
6,54,0.0002033710479736328,17
6,286,0.0016820430755615234,24
6,54,0.0001971721649169922,17
6,66,0.0003211498260498047,18
6,66,0.00018835067749023438,18
6,54,0.00015783309936523438,16
6,54,0.00014853477478027344,16
6,60,0.00015282630920410156,17
6,54,0.0001316070556640625,16
17,655,0.0002760887145996094,0
6,56,0.0001773834228515625,24
6,89,0.00025177001953125,24
6,56,0.0002841949462890625,24
6,89,0.00019741058349609375,24
6,60,0.00014829635620117188,17
6,54,0.00010824203491210938,16
6,110,0.0003216266632080078,24
6,54,0.00010919570922851562,17
6,60,0.00010919570922851562,16
6,60,0.0001087188720703125,17
6,54,9.608268737792969e-05,16
6,60,0.00010561943054199219,16
6,60,0.00010704994201660156,16
6,60,0.00010561943054199219,16
6,60,0.000133514404296875,17
6,54,9.1552734375e-05,16
17,1292,0.00021314620971679688,0
17,1292,0.000263214111328125,0
6,107,0.0005574226379394531,24
6,54,0.0002484321594238281,17
6,60,0.00022554397583007812,17
6,54,0.00018215179443359375,16
17,82,0.00028514862060546875,0
17,82,0.0001697540283203125,0
6,160,0.0006618499755859375,24
6,54,0.00012922286987304688,17
17,1292,0.00017952919006347656,0
17,1292,0.00015425682067871094,0
17,1292,0.00014591217041015625,0
17,1292,0.00016450881958007812,0
6,60,0.00011110305786132812,17
6,54,0.00018262863159179688,16
17,122,0.00030517578125,0
6,66,0.0009012222290039062,18
6,54,0.00013327598571777344,16
6,1839,0.00021576881408691406,24
6,66,0.0001266002655029297,18
6,54,0.00031256675720214844,16
6,1871,0.00023245811462402344,24
17,75,0.00403141975402832,0
17,82,0.0011324882507324219,0
17,1292,0.001046895980834961,0
17,1292,0.0002894401550292969,0
17,1292,0.0002701282501220703,0
17,1292,0.0002434253692626953,0
17,1292,0.00684046745300293,0
17,331,0.00019168853759765625,0
17,1003,0.00017762184143066406,0
17,88,0.000133514404296875,0
17,75,0.00012755393981933594,0
17,79,0.00011682510375976562,0
17,120,0.00013184547424316406,0
17,73,0.00013113021850585938,0
17,561,0.00014400482177734375,0
17,186,0.00012087821960449219,0
17,82,0.00011968612670898438,0
17,1292,0.00014400482177734375,0
6,60,0.0011050701141357422,16
6,60,0.00013637542724609375,16
6,60,0.0010228157043457031,16
6,78,0.0004057884216308594,24
6,54,0.0001575946807861328,20
6,60,0.00015163421630859375,17
